"cve_id","product","id","flag"
"CVE-2013-0844","ffmpeg/ffmpeg","85a14dbd5dca34320f58b1ba11dd6dd0df4fb3be","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_ADPCM_4XM_DECODER)) | (defined(CONFIG_ADPCM_CT_DECODER)) | (defined(CONFIG_ADPCM_EA_DECODER)) | (defined(CONFIG_ADPCM_EA_MAXIS_XA_DECODER)) | (defined(CONFIG_ADPCM_EA_R1_DECODER)) | (defined(CONFIG_ADPCM_EA_R2_DECODER)) | (defined(CONFIG_ADPCM_EA_R3_DECODER)) | (defined(CONFIG_ADPCM_EA_XAS_DECODER)) | (defined(CONFIG_ADPCM_IMA_AMV_DECODER)) | (defined(CONFIG_ADPCM_IMA_APC_DECODER)) | (defined(CONFIG_ADPCM_IMA_DK3_DECODER)) | (defined(CONFIG_ADPCM_IMA_DK4_DECODER)) | (defined(CONFIG_ADPCM_IMA_EA_EACS_DECODER)) | (defined(CONFIG_ADPCM_IMA_EA_SEAD_DECODER)) | (defined(CONFIG_ADPCM_IMA_ISS_DECODER)) | (defined(CONFIG_ADPCM_IMA_QT_DECODER)) | (defined(CONFIG_ADPCM_IMA_SMJPEG_DECODER)) | (defined(CONFIG_ADPCM_IMA_WAV_DECODER)) | (defined(CONFIG_ADPCM_IMA_WS_DECODER)) | (defined(CONFIG_ADPCM_MS_DECODER)) | (defined(CONFIG_ADPCM_SBPRO_2_DECODER)) | (defined(CONFIG_ADPCM_SBPRO_3_DECODER)) | (defined(CONFIG_ADPCM_SBPRO_4_DECODER)) | (defined(CONFIG_ADPCM_SWF_DECODER)) | (defined(CONFIG_ADPCM_THP_DECODER)) | (defined(CONFIG_ADPCM_XA_DECODER)) | (defined(CONFIG_ADPCM_YAMAHA_DECODER)))"
"CVE-2013-0844","ffmpeg/ffmpeg","f18c873ab5ee3c78d00fdcc2582b39c133faecb4","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_ADPCM_4XM_DECODER)) | (defined(CONFIG_ADPCM_AFC_DECODER)) | (defined(CONFIG_ADPCM_CT_DECODER)) | (defined(CONFIG_ADPCM_EA_DECODER)) | (defined(CONFIG_ADPCM_EA_MAXIS_XA_DECODER)) | (defined(CONFIG_ADPCM_EA_R1_DECODER)) | (defined(CONFIG_ADPCM_EA_R2_DECODER)) | (defined(CONFIG_ADPCM_EA_R3_DECODER)) | (defined(CONFIG_ADPCM_EA_XAS_DECODER)) | (defined(CONFIG_ADPCM_IMA_AMV_DECODER)) | (defined(CONFIG_ADPCM_IMA_APC_DECODER)) | (defined(CONFIG_ADPCM_IMA_DK3_DECODER)) | (defined(CONFIG_ADPCM_IMA_DK4_DECODER)) | (defined(CONFIG_ADPCM_IMA_EA_EACS_DECODER)) | (defined(CONFIG_ADPCM_IMA_EA_SEAD_DECODER)) | (defined(CONFIG_ADPCM_IMA_ISS_DECODER)) | (defined(CONFIG_ADPCM_IMA_OKI_DECODER)) | (defined(CONFIG_ADPCM_IMA_QT_DECODER)) | (defined(CONFIG_ADPCM_IMA_SMJPEG_DECODER)) | (defined(CONFIG_ADPCM_IMA_WAV_DECODER)) | (defined(CONFIG_ADPCM_IMA_WS_DECODER)) | (defined(CONFIG_ADPCM_MS_DECODER)) | (defined(CONFIG_ADPCM_SBPRO_2_DECODER)) | (defined(CONFIG_ADPCM_SBPRO_3_DECODER)) | (defined(CONFIG_ADPCM_SBPRO_4_DECODER)) | (defined(CONFIG_ADPCM_SWF_DECODER)) | (defined(CONFIG_ADPCM_THP_DECODER)) | (defined(CONFIG_ADPCM_XA_DECODER)) | (defined(CONFIG_ADPCM_YAMAHA_DECODER)))"
"CVE-2013-0845","ffmpeg/ffmpeg","0ceca269b66ec12a23bf0907bd2c220513cdbf16","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_ALS_DECODER))"
"CVE-2013-0845","ffmpeg/ffmpeg","6df0d3e2916c223dbe4262bf1b876dff1cb3f980","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_ALS_DECODER))"
"CVE-2013-0846","ffmpeg/ffmpeg","a7ee6281f7ef1c29284e3a4cadfe0f227ffde1ed","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_QDM2_DECODER))"
"CVE-2013-0848","ffmpeg/ffmpeg","6abb9a901fca27da14d4fffbb01948288b5da3ba","((defined(CONFIG_HUFFYUV_DECODER)) | (defined(CONFIG_FFVHUFF_DECODER))) & (defined(CONFIG_AVCODEC)) & ((defined(CONFIG_FFVHUFF_DECODER)) | (defined(CONFIG_FFVHUFF_ENCODER)) | (defined(CONFIG_HUFFYUV_DECODER)) | (defined(CONFIG_HUFFYUV_ENCODER)))"
"CVE-2013-0849","ffmpeg/ffmpeg","3ae610451170cd5a28b33950006ff0bd23036845","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_ROQ_DECODER))"
"CVE-2013-0850","ffmpeg/ffmpeg","d6c184880ee2e09fd68c0ae217173832cee5afc1","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_SVQ3_DECODER)) | (defined(CONFIG_H264_PARSER)) | (defined(CONFIG_H264_DECODER)))"
"CVE-2013-0851","ffmpeg/ffmpeg","63ac64864c6e0e84355aa3caa5b92208997a9a8d","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_EAMAD_DECODER))"
"CVE-2013-0852","ffmpeg/ffmpeg","c0d68be555f5858703383040e04fcd6529777061","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_PGSSUB_DECODER))"
