feature,weight
CONFIG_FB_CG6,1
CONFIG_FB_CG3,1
CONFIG_BLK_CGROUP,1
CONFIG_X86_MCE,1
CONFIG_MDIO_BCM_UNIMAC,1
CONFIG_MAC80211_HWSIM,1
CONFIG_RDS_TCP,1
CONFIG_DRM_LOAD_EDID_FIRMWARE,1
CONFIG_PPC_PSERIES,1
CONFIG_SPARC64,1
CONFIG_PHYLIB,1
CONFIG_MDIO_DEVICE,1
CONFIG_USB_F_HID,1
CONFIG_MWIFIEX,6
CONFIG_WLAN_VENDOR_MARVELL,6
CONFIG_QEDI,1
CONFIG_BT_HCIUART,2
CONFIG_FM10K,1
CONFIG_NET_VENDOR_INTEL,2
CONFIG_INFINIBAND_HNS,1
CONFIG_CRYPTO_DEV_SP_CCP,2
CONFIG_CRYPTO_DEV_CCP_DD,2
CONFIG_CRYPTO_DEV_CCP,2
CONFIG_CRYPTO,2
CONFIG_DVB_USB_AF9005,1
CONFIG_SND_SOC_SOF,1
CONFIG_SND_SOC,1
CONFIG_I40E,1
CONFIG_DRM_V3D,1
CONFIG_OF_UNITTEST,1
CONFIG_CRYPTO_STATS,1
CONFIG_WIMAX_I2400M,1
CONFIG_WIMAX,1
CONFIG_RPMSG_CHAR,1
CONFIG_RPMSG,3
CONFIG_VIDEO_CX23885,1
CONFIG_MWIFIEX_PCIE,2
CONFIG_IIO_ADIS_LIB_BUFFER,2
CONFIG_IIO_ADIS_LIB,2
CONFIG_IIO,2
CONFIG_RTLWIFI_USB,1
CONFIG_RTLWIFI,1
CONFIG_WLAN_VENDOR_REALTEK,2
CONFIG_SPI_FSL_LPSPI,1
CONFIG_SPI,2
CONFIG_INFINIBAND_HFI1,1
CONFIG_RTL8XXXU,1
CONFIG_QCOM_FASTRPC,1
CONFIG_SPI_GPIO,1
CONFIG_RSI_91X,1
CONFIG_WLAN_VENDOR_RSI,1
CONFIG_ATH9K_HTC,2
CONFIG_WLAN_VENDOR_ATH,3
CONFIG_IEEE802154_CA8210,1
CONFIG_INFINIBAND_BNXT_RE,1
CONFIG_ATH10K_USB,1
CONFIG_ATH10K,1
CONFIG_QRTR_TUN,1
CONFIG_QRTR,2
CONFIG_TRANSPARENT_HUGEPAGE,2
CONFIG_DRM_TTM,3
CONFIG_CAN_KVASER_USB,1
CONFIG_IPV6_MULTIPLE_TABLES,1
CONFIG_VIDEO_TW5864,1
CONFIG_CAN_SLCAN,1
CONFIG_USB_GSPCA_OV519,1
CONFIG_USB_GSPCA,3
CONFIG_USB_STV06XX,1
CONFIG_USB_GSPCA_XIRLINK_CIT,1
CONFIG_MT76_CORE,1
CONFIG_WLAN_VENDOR_MEDIATEK,1
CONFIG_FUSION_CTL,1
CONFIG_FUSION,1
CONFIG_IOSCHED_BFQ,1
CONFIG_XDP_SOCKETS,1
CONFIG_KEYBOARD_SUNKBD,1
CONFIG_INPUT_KEYBOARD,1
CONFIG_XEN,1
CONFIG_SPEAKUP,1
CONFIG_ACCESSIBILITY,1
CONFIG_NLATTR,1
CONFIG_CEC_CORE,1
CONFIG_MODULES,2
CONFIG_SAMPLE_VFIO_MDEV_MBOCHS,1
CONFIG_SAMPLES,1
CONFIG_VT,1
CONFIG_PPC_PERF_CTRS,1
CONFIG_USB_MAX3421_HCD,2
CONFIG_USB_XHCI_HCD,1
CONFIG_USB_OHCI_HCD,1
CONFIG_USB_ISP116X_HCD,1
CONFIG_USB_FHCI_HCD,1
CONFIG_USB_EHCI_HCD,1
CONFIG_USB_UHCI_HCD,1
CONFIG_USB_PCI,1
CONFIG_USB_SL811_HCD,1
CONFIG_USB_ISP1362_HCD,1
CONFIG_USB_U132_HCD,1
CONFIG_USB_R8A66597_HCD,1
CONFIG_USB_HWA_HCD,1
CONFIG_USB_FSL_USB2,1
CONFIG_USB_FOTG210_HCD,1
CONFIG_XILINX_EMACLITE,1
CONFIG_NET_VENDOR_XILINX,2
CONFIG_XILINX_LL_TEMAC,1
CONFIG_TIPC_CRYPTO,2
CONFIG_IO_URING,6
CONFIG_6PACK,1
CONFIG_NFC_MRVL,1
CONFIG_USB_GADGETFS,2
CONFIG_USB_LIBCOMPOSITE,1
CONFIG_USB_F_RNDIS,1
CONFIG_OPENVSWITCH,1
CONFIG_NFC_ST21NFCA,1
CONFIG_USB_GADGET_XILINX,1
CONFIG_HID_ELO,1
CONFIG_CAN_8DEV_USB,1
CONFIG_CAN_MCBA_USB,1
